test_case,solver,T_start,alpha,T_end,iter_per_T,run_id,f_days,Z_slots,runtime_s,valid
TC_02,SA,200.0,0.999,0.1,10,5,19,74,0.472,true
TC_03,SA,50.0,0.9,0.1,10,1,30,119,0.992,true
TC_03,SA,50.0,0.9,0.1,10,2,30,119,0.968,true
TC_03,SA,50.0,0.9,0.1,10,3,30,119,0.945,true
TC_03,SA,50.0,0.9,0.1,10,4,30,119,1.08,true
TC_03,SA,50.0,0.9,0.1,10,5,30,119,1.169,true
TC_03,SA,50.0,0.95,0.1,10,1,30,119,1.018,true
TC_03,SA,50.0,0.95,0.1,10,2,30,119,1.181,true
TC_03,SA,50.0,0.95,0.1,10,3,30,119,1.236,true
TC_03,SA,50.0,0.95,0.1,10,4,30,119,1.065,true
TC_03,SA,50.0,0.95,0.1,10,5,30,119,1.087,true
TC_03,SA,50.0,0.99,0.1,10,1,30,119,1.152,true
TC_03,SA,50.0,0.99,0.1,10,2,30,119,1.01,true
TC_03,SA,50.0,0.99,0.1,10,3,30,119,1.218,true
TC_03,SA,50.0,0.99,0.1,10,4,30,119,1.078,true
TC_03,SA,50.0,0.99,0.1,10,5,30,119,1.152,true
TC_03,SA,50.0,0.999,0.1,10,1,30,119,1.402,true
TC_03,SA,50.0,0.999,0.1,10,2,30,119,1.142,true
TC_03,SA,50.0,0.999,0.1,10,3,30,119,1.419,true
TC_03,SA,50.0,0.999,0.1,10,4,30,119,1.375,true
TC_03,SA,50.0,0.999,0.1,10,5,30,119,1.331,true
TC_03,SA,100.0,0.9,0.1,10,1,30,119,0.94,true
TC_03,SA,100.0,0.9,0.1,10,2,30,119,0.972,true
TC_03,SA,100.0,0.9,0.1,10,3,30,119,1.023,true
TC_03,SA,100.0,0.9,0.1,10,4,30,119,1.058,true
TC_03,SA,100.0,0.9,0.1,10,5,30,119,0.979,true
TC_03,SA,100.0,0.95,0.1,10,1,30,119,1.038,true
TC_03,SA,100.0,0.95,0.1,10,2,30,119,1.065,true
TC_03,SA,100.0,0.95,0.1,10,3,30,119,1.157,true
TC_03,SA,100.0,0.95,0.1,10,4,30,119,1.128,true
TC_03,SA,100.0,0.95,0.1,10,5,30,119,1.098,true
TC_03,SA,100.0,0.99,0.1,10,1,30,119,1.165,true
TC_03,SA,100.0,0.99,0.1,10,2,30,119,0.963,true
TC_03,SA,100.0,0.99,0.1,10,3,30,119,0.993,true
TC_03,SA,100.0,0.99,0.1,10,4,30,119,1.104,true
TC_03,SA,100.0,0.99,0.1,10,5,30,119,1.112,true
TC_03,SA,100.0,0.999,0.1,10,1,30,119,1.405,true
TC_03,SA,100.0,0.999,0.1,10,2,30,119,1.483,true
TC_03,SA,100.0,0.999,0.1,10,3,30,119,1.543,true
TC_03,SA,100.0,0.999,0.1,10,4,30,119,1.468,true
TC_03,SA,100.0,0.999,0.1,10,5,30,119,1.307,true
TC_03,SA,200.0,0.9,0.1,10,1,30,119,1.066,true
TC_03,SA,200.0,0.9,0.1,10,2,30,119,0.964,true
TC_03,SA,200.0,0.9,0.1,10,3,30,119,1.076,true
TC_03,SA,200.0,0.9,0.1,10,4,30,119,0.946,true
TC_03,SA,200.0,0.9,0.1,10,5,30,119,1.1,true
TC_03,SA,200.0,0.95,0.1,10,1,30,119,1.034,true
TC_03,SA,200.0,0.95,0.1,10,2,30,119,1.085,true
TC_03,SA,200.0,0.95,0.1,10,3,30,119,1.134,true
TC_03,SA,200.0,0.95,0.1,10,4,30,119,1.02,true
TC_03,SA,200.0,0.95,0.1,10,5,30,119,1.192,true
TC_03,SA,200.0,0.99,0.1,10,1,30,119,1.02,true
TC_03,SA,200.0,0.99,0.1,10,2,30,119,1.09,true
TC_03,SA,200.0,0.99,0.1,10,3,30,119,1.25,true
TC_03,SA,200.0,0.99,0.1,10,4,30,119,1.013,true
TC_03,SA,200.0,0.99,0.1,10,5,30,119,0.913,true
TC_03,SA,200.0,0.999,0.1,10,1,30,119,1.482,true
TC_03,SA,200.0,0.999,0.1,10,2,30,119,1.511,true
TC_03,SA,200.0,0.999,0.1,10,3,30,119,1.331,true
TC_03,SA,200.0,0.999,0.1,10,4,30,119,1.427,true
TC_03,SA,200.0,0.999,0.1,10,5,30,119,1.432,true
TC_04,SA,50.0,0.9,0.1,10,1,2,6,0.058,true
TC_04,SA,50.0,0.9,0.1,10,2,2,6,0.049,true
TC_04,SA,50.0,0.9,0.1,10,3,2,6,0.045,true
TC_04,SA,50.0,0.9,0.1,10,4,2,6,0.04,true
TC_04,SA,50.0,0.9,0.1,10,5,2,6,0.042,true
TC_04,SA,50.0,0.95,0.1,10,1,2,6,0.041,true
